-1.0,-1.0,-1.0,-1.0,-1.0,3759.38,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3894.95,-1.0,3895.93,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3861.62,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3895.93,-1.0,3896.18,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3391.06,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3896.18,-1.0,3895.65,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2703.44,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3895.65,-1.0,3894.48,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2554.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3894.48,-1.0,3892.97,-1.0,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3150.54,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3892.97,-1.0,3891.53,-1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3754.36,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3891.53,-1.0,3890.56,-1.0,-1.0
3855.61,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3890.56,-1.0,3890.3,-1.0
-1.0,3386.53,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3890.3,-1.0,3890.83
-1.0,-1.0,2701.79,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3892.01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3890.83,-1.0
